#{"t_start": 1514340648.9094906, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.698474
1.0,2,1.710332
1.0,2,1.721343
0,1,1.725551
1.0,2,1.733951
0,1,1.738161
0,2,1.746595
0,2,1.758343
0,2,1.767505
0,1,1.770809
0,1,1.776374
0,1,1.779563
1.0,2,2.024252
1.0,2,2.033119
0,2,2.043614
1.0,2,2.055153
0,2,2.066929
0,2,2.074446
1.0,2,2.082637
0,2,2.089976
0,1,2.094453
0,2,2.104345
1.0,2,2.112458
0,2,2.188682
0,1,2.19392
0,2,2.201993
0,1,2.206576
0,1,2.210584
1.0,2,2.220905
0,1,2.224892
0,2,2.233724
0,1,2.23913
0,1,2.242332
0,2,2.252434
0,2,2.260863
0,1,2.265827
0,1,2.269948
0,2,2.342099
1.0,2,2.350394
0,1,2.356014
0,1,2.363225
1.0,2,2.370832
1.0,2,2.381228
0,2,2.389331
1.0,2,2.398526
0,2,2.407595
1.0,2,2.416593
0,2,2.4248
1.0,2,2.500362
0,2,2.508987
0,2,2.516629
2.0,3,2.529523
0,1,2.534797
1.0,2,2.542839
2.0,3,2.555222
0,2,2.565497
0,2,2.574524
0,1,2.579909
0,2,2.651677
0,1,2.655154
0,1,2.659075
0,1,2.663236
1.0,2,2.672113
0,2,2.681888
1.0,2,2.691713
0,2,2.704627
0,1,2.708133
0,1,2.71423
0,2,2.721274
1.0,2,2.732482
0,1,2.737107
1.0,2,2.815184
0,1,2.818177
1.0,2,2.827412
0,2,2.836939
0,2,2.84651
1.0,2,2.854713
0,2,2.863189
0,2,2.872181
1.0,2,2.882382
0,2,2.891206
1.0,2,2.961933
0,1,2.968123
0,2,2.984155
0,1,2.989411
1.0,2,3.000996
0,1,3.004635
1.0,2,3.014907
0,2,3.024456
0,2,3.03407
0,1,3.038653
0,2,3.051509
1.0,2,3.060424
0,1,3.064826
0,2,3.13828
1.0,2,3.147225
0,1,3.151013
0,1,3.155928
0,2,3.164544
1.0,2,3.175619
0,2,3.185284
0,2,3.191701
1.0,2,3.202506
0,1,3.208197
1.0,2,3.217392
0,2,3.29185
0,2,3.303522
1.0,2,3.31328
1.0,2,3.322264
1.0,2,3.331364
1.0,2,3.341846
0,2,3.350804
2.0,3,3.367172
0,1,3.371112
0,1,3.376951
1.0,2,3.387271
1.0,2,3.471482
0,2,3.482259
1.0,2,3.492318
0,2,3.506827
1.0,2,3.516057
0,2,3.527703
2.0,3,3.542099
0,1,3.547006
0,2,3.556221
0,1,3.559291
0,2,3.636508
0,2,3.644207
1.0,2,3.651539
0,2,3.660195
0,1,3.664162
0,1,3.66778
0,2,3.677187
0,2,3.690259
0,2,3.700223
0,1,3.705666
1.0,2,3.716196
1.0,2,3.725539
0,2,3.810216
0,1,3.814794
2.0,3,3.826554
0,2,3.834253
1.0,2,3.84228
1.0,2,3.850307
1.0,2,3.858775
1.0,2,3.866424
0,2,3.876746
1.0,2,3.892028
1.0,2,3.980839
0,1,3.98415
0,2,3.993198
1.0,2,4.001693
0,2,4.011678
0,2,4.022322
2.0,3,4.035346
0,2,4.042957
0,2,4.052296
2.0,3,4.137691
1.0,2,4.147146
0,1,4.150344
1.0,2,4.159797
1.0,2,4.170634
1.0,2,4.181088
1.0,2,4.189631
0,1,4.194748
1.0,2,4.203582
1.0,2,4.213309
1.0,2,4.223105
1.0,2,4.304036
1.0,2,4.312445
0,2,4.324685
0,1,4.328447
1.0,2,4.340384
0,1,4.345141
0,2,4.353568
0,2,4.362642
1.0,2,4.371467
0,2,4.381233
0,2,4.390389
0,1,4.395863
0,2,4.468805
1.0,2,4.475276
0,2,4.484267
0,2,4.494425
1.0,2,4.502638
0,1,4.506808
1.0,2,4.515828
2.0,3,4.526272
0,2,4.53477
0,2,4.543942
0,2,4.63881
1.0,2,4.64848
0,1,4.65285
0,2,4.664195
0,1,4.671283
0,2,4.67954
1.0,2,4.690216
1.0,2,4.699336
3.0,4,4.714481
1.0,2,4.723194
0,1,4.79724
2.0,3,4.814208
1.0,2,4.823026
0,1,4.82815
0,2,4.838699
0,1,4.841795
0,2,4.853117
1.0,2,4.862589
0,1,4.866424
0,2,4.875431
0,1,4.879405
1.0,2,4.887415
1.0,2,4.964249
1.0,2,4.974395
0,1,4.978832
1.0,2,4.992203
0,1,4.999328
0,1,5.003937
0,2,5.011299
0,1,5.016187
1.0,2,5.026033
1.0,2,5.035572
0,2,5.045241
0,2,5.052326
0,2,5.133601
0,2,5.141087
0,2,5.150054
1.0,2,5.156667
1.0,2,5.164914
1.0,2,5.174068
0,1,5.181398
1.0,2,5.193161
2.0,3,5.208307
0,2,5.218603
0,2,5.305214
0,2,5.316267
1.0,2,5.326271
0,1,5.330325
0,1,5.334723
0,1,5.339805
0,2,5.348734
2.0,3,5.360947
1.0,2,5.370342
0,1,5.376172
2.0,3,5.39415
1.0,2,5.479571
0,1,5.48582
1.0,2,5.49581
0,1,5.502759
1.0,2,5.511689
0,2,5.519857
0,2,5.528344
0,1,5.532702
0,2,5.54057
1.0,2,5.549748
0,1,5.553101
1.0,2,5.56064
0,2,5.631602
0,1,5.635898
1.0,2,5.648198
0,1,5.654224
1.0,2,5.662987
2.0,3,5.677308
2.0,3,5.688847
1.0,2,5.698456
1.0,2,5.710571
0,1,5.71468
1.0,2,5.79082
0,2,5.796818
1.0,2,5.805064
1.0,2,5.8145
0,2,5.828839
0,2,5.838107
0,2,5.847074
0,1,5.852369
1.0,2,5.862207
1.0,2,5.872477
0,2,5.88105
0,1,5.957448
0,2,5.965311
0,2,5.974277
0,1,5.98022
0,2,5.98711
0,2,5.995588
0,2,6.00341
0,2,6.013922
1.0,2,6.021999
0,1,6.025859
0,2,6.034678
1.0,2,6.118747
0,2,6.128116
0,1,6.13211
1.0,2,6.141248
1.0,2,6.150701
0,1,6.157221
2.0,3,6.169665
0,2,6.17741
0,2,6.187123
0,1,6.190572
0,1,6.19508
0,2,6.20354
0,1,6.271265
0,2,6.28286
0,1,6.286023
1.0,2,6.296294
0,2,6.305916
1.0,2,6.314235
0,1,6.319944
0,2,6.327827
1.0,2,6.335244
0,2,6.343306
1.0,2,6.351518
0,2,6.434748
0,2,6.445561
0,2,6.456051
0,2,6.464
0,2,6.473253
0,2,6.481659
0,1,6.485917
0,1,6.490383
0,2,6.504271
1.0,2,6.513414
1.0,2,6.522714
0,2,6.608668
1.0,2,6.616929
1.0,2,6.627095
1.0,2,6.63662
2.0,3,6.650357
0,1,6.655682
0,1,6.659893
0,2,6.66686
0,2,6.674263
1.0,2,6.682099
1.0,2,6.690273
0,2,6.787899
1.0,2,6.798105
0,1,6.804743
0,2,6.817827
0,2,6.828967
2.0,3,6.84548
1.0,2,6.853056
1.0,2,6.860935
1.0,2,6.868034
0,1,6.870869
0,1,6.875424
0,1,6.95656
0,1,6.961054
1.0,2,6.969419
1.0,2,6.979109
2.0,3,6.992779
2.0,3,7.005843
2.0,3,7.01758
0,2,7.025362
0,2,7.033
0,1,7.037299
1.0,2,7.109067
0,2,7.119496
0,1,7.122864
2.0,3,7.13565
0,2,7.14569
0,2,7.152913
0,2,7.161625
0,2,7.171556
0,2,7.179222
0,1,7.184175
0,2,7.265772
2.0,3,7.275567
0,2,7.284004
0,2,7.292023
0,2,7.300044
0,2,7.308411
0,2,7.319897
1.0,2,7.329283
0,2,7.337233
1.0,2,7.346761
0,2,7.424836
0,2,7.432564
0,2,7.442444
0,2,7.44995
1.0,2,7.458746
1.0,2,7.46832
0,2,7.476724
2.0,3,7.492991
1.0,2,7.50209
0,2,7.57751
2.0,3,7.591132
1.0,2,7.601205
0,2,7.611171
1.0,2,7.620028
1.0,2,7.629762
0,2,7.638789
2.0,3,7.652079
1.0,2,7.661548
0,1,7.665324
1.0,2,7.751147
0,2,7.757945
0,2,7.767137
0,1,7.771062
0,2,7.777917
1.0,2,7.785668
1.0,2,7.796329
0,2,7.806525
0,2,7.814299
1.0,2,7.822023
0,1,7.825846
1.0,2,7.909086
2.0,3,7.923151
0,1,7.930009
0,2,7.941343
0,2,7.951191
0,2,7.960259
0,2,7.970865
0,2,7.981215
0,2,7.990906
2.0,3,8.075726
1.0,2,8.083341
1.0,2,8.096857
1.0,2,8.106563
2.0,3,8.118263
2.0,3,8.12938
2.0,3,8.142898
0,2,8.151478
0,2,8.160141
1.0,2,8.246024
1.0,2,8.253178
0,2,8.261398
1.0,2,8.26861
2.0,3,8.283834
1.0,2,8.296029
2.0,3,8.310247
0,2,8.31967
1.0,2,8.329295
3.0,4,8.431225
0,2,8.440701
0,2,8.447918
4.0,5,8.467106
2.0,3,8.481596
2.0,3,8.503931
0,2,8.591743
0,2,8.599664
4.0,5,8.618426
0,2,8.629964
2.0,3,8.641968
1.0,2,8.649697
2.0,3,8.66179
0,2,8.670382
0,2,8.739869
1.0,2,8.748049
1.0,2,8.758021
0,2,8.769144
0,2,8.783913
1.0,2,8.795285
2.0,3,8.808764
1.0,2,8.821218
0,2,8.829796
0,2,8.918634
0,2,8.927182
